药材,别名,性味归经,功用,症状,药材分类,用法用量,注意事项
骨碎补,猴姜、猢狲姜、石毛姜、过山龙、石良姜、爬岩姜、石岩姜、碎补、树蜈蚣、地蜈蚣、黄爬山虎、麻鸡翅膀、搜山虎、肉碎补、猴掌姜、石连姜、石巴掌、毛姜、申姜、岩姜,味苦，性温；归肝、肾经,活血续伤，补肾强骨。,1、跌打损伤或创伤，筋骨损伤，瘀滞肿痛：本品能活血散瘀、消肿止痛、续筋接骨。以其入肾治骨，能治骨伤碎而得名，为伤科要药。  2、肾虚腰痛脚弱，耳鸣耳聋，牙痛，久泄：本品苦温入肾，能温补肾阳，强筋健骨，可治肾虚之证。  3、本品还可用于斑秃、白癜风等病证的治疗。 ,植物,内服：煎服，10-20g；或入丸、散。外用：适量，捣敷或研末调敷；或浸酒搽。,1、阴虚火旺及无瘀血或血虚有火者不宜使用。若症见潮热盗汗，五心烦热，舌红少苔，或面白无华，乏力头晕，口舌生疮者当忌用。
地锦草,草血竭、血见愁草、血见愁、小虫儿卧单、铁线草、酱瓣草、血风草、马蚁草、雀儿卧单、猢狲头草、扑地锦、奶花草、奶草、奶汁草、铺地锦、铺地红、红莲草、斑鸠窝、三月黄花、地蓬草、铁线马齿苋、蜈蚣草、奶疳草、红茎草、红斑鸠窝、地马桑、红沙草、凉帽草、小苍蝇翅草、红丝草、小红筋草、仙桃草、莲子草、软骨莲子草、九龙吐珠草、地瓣草、粪脚草、粪触脚、花被单、铺地草、被单草、星星草、斑雀草、多叶果、凤凰窝、九头狮子草,味辛，性平；归肝、大肠经,清热解毒，凉血止血，利湿退黄。,1、热毒泻痢：本品有清热解毒止痢，凉血止血之功效，故常用于湿热、热毒所致的泻痢不止、血痢、便血。  2、血热出血：本品既能凉血止血，又能活血散瘀，具有止血而不留瘀的特点，故用于多种内外出血证。  3、湿热黄疸：本品能清热解毒，又能利湿退黄。治疗湿热黄疸，小便不利。  4、热毒疮肿，毒蛇咬伤：本品既能清热解毒，又具凉血消肿之功，故可用于热毒所致之疮疡痈肿、毒蛇咬伤等证。,植物,内服：煎服，9-20g，鲜品30-60g。外用：适量。,血虚无瘀及脾胃虚弱者慎用。
酸枣仁,枣仁、酸枣核,味甘、酸，性平、温；归心、肝胆经,养心益肝，安神，敛汗。,主要用于血虚心悸、怔忡、健忘、失眠、多梦、眩晕，体虚自汗、盗汗及津伤口渴咽干等。,植物,内服：煎服，6-15g。研末，每次3-5g；或入丸、散。,1、甘缓补益，长于治疗心肝血虚，神失安养所致的失眠之症。凡因痰浊、食滞之实邪或肝郁化火之失眠症，皆不宜大量内服。
补骨脂,胡韭子、婆固脂、破故纸、补骨鸱、黑故子、胡故子、吉固子、黑固脂,味苦、辛，性温；归肾、脾经,补肾壮阳，固精缩尿，温脾止泻，纳气平喘。,1、肾虚阳痿、腰膝冷痛：本品苦辛温燥，善壮肾阳暖水脏。  2、肾虚遗精、遗尿、尿频：本品兼有涩性，善补肾助阳，固精缩尿，单用有效，亦可随证配伍它药。  3、脾肾阳虚，五更泄泻：本品能壮肾阳、暖脾阳、收涩以止泻。  4、肾不纳气，虚寒喘咳：本品补肾助阳，纳气平喘。,植物,内服：水煎，6-15g，或入丸、散；外用：适量，酒浸或酊剂涂患处。,1、性温热，凡外感热病、实热内炽，阴虚火旺、血虚血热等证不宜单味药大量长期服用。大便燥结者忌服；因热而遗精、尿频者忌服；内热烦渴、眩晕气虚者忌服；膀胱癌患者忌用。
玛瑙,味辛，性寒。归肝经,无毒《本草拾遗》,清热明目除翳。,用于目睑赤烂，目生翳障。,矿物,外用：适量，砸碎，研为细粉；或水飞用。,婴幼儿不宜用。
白果,鸭脚子、灵眼、佛指甲,裸子植物门,敛肺定喘，止带缩尿。,主要用于哮喘痰嗽，带下，白浊、尿频，遗尿等。 ,银杏纲,内服：煎汤，3-9g；或捣汁。外用：捣敷；或切片涂。,有毒，不可过量，小儿尤当注意。过食白果可致中毒，出现腹痛、吐泻、发热、紫绀以及昏迷、抽搐，严重者可致呼吸麻痹而死亡。
山楂,朹、檕梅、朹子、鼠查、羊梂、赤爪实、棠梂子、赤枣子、山里红果、酸枣、鼻涕团、柿樝子、山里果子、茅樝、猴樝、映山红果、海红、酸梅子、山梨,山东、河南、河北、辽宁,消食化积，行气散瘀。,1、饮食积滞：本品酸甘，微温不热，功善消食化积，能治各种饮食积滞，尤为消化油腻肉食积滞之要药。  2、泻痢腹痛、疝气痛：山楂入肝经，能行气散结止痛，炒用兼能止泻止痢。  3、瘀阻胸腹痛、痛经：本品性温兼入肝经血分，能通行气血，有活血祛瘀止痛之功。 ,味酸、甘，性微温；归脾、胃、肝经,内服：煎服，10-15g，大剂量30g。,脾胃虚弱而无积滞者慎用。
生地黄,怀庆地黄,味甘、苦，性寒；归心、肝、肾经,清热凉血，养阴生津。,1、热入营血，舌绛烦渴，斑疹吐衄：本品苦寒入营血分，为清热，凉血，止血之要药。又因其性甘寒质润，能清热生津止渴。  2、阴虚内热，骨蒸劳热者：品甘寒养阴，苦寒泄热，入肾经而滋阴降火，养阴津而泄伏热。  3、津伤口渴，内热消渴，肠燥便秘：本品甘寒质润，既能清热养阴，又能生津止渴。,植物,内服：煎服，10-15g。鲜品用量加倍，或以鲜品捣汁入药。,1、生地黄质地滋腻，柔润，味甘而厚，擅补阴血，但有伤脾阳阻碍胃气的不良反应，故脾胃气虚，或脾阳不足，受纳运化之力不足，临床表现为食欲不振，少食便溏，或腹满泄泻，舌质淡，苔白多津，脉细无力等症者当忌用鲜地黄、生地黄，以免伤阳困脾。
巴戟天,巴戟、巴吉天、戟天、巴戟肉、鸡肠风、猫肠筋、兔儿肠,味辛、甘，性微温；归肾、肝经,补肾助阳，祛风除湿。,1、阳痿不举，宫冷不孕，小便频数：本品补肾助阳，甘润不燥。治虚羸阳道不举；肾阳虚弱，命门火衰所致阳痿不育；下元虚寒之宫冷不孕、月经不调、少腹冷痛；小便不禁等。  2、风湿腰膝疼痛，肾虚腰膝酸软：本品补肾阳、强筋骨、祛风湿，对肾阳虚兼风湿之证尤宜，多与补肝肾、祛风湿药配伍。治肾虚骨痿，腰膝酸软；风冷腰胯疼痛、行步不利等。,植物,内服：水煎，6-15g；或入丸、散；或浸酒、熬膏。,1、巴戟天性温，故属外感热病、实热内炽，阴虚火旺，血虚血热等证者不宜单味药大量长期服用。风湿痹痛属热证者不宜单味药大量服用。
燕窝,燕窝菜、燕蔬菜、燕菜、燕根,味甘，性平，归肺、胃、肾经,养阴润燥，益气补中，化痰止咳。,久病虚损，肺痨咳嗽，痰喘，咯血，吐血，久痢，久疟，噎膈反胃，体虚遗精，小便频数。,动物,内服：绢包，煎汤或蒸服，5-10g；或入膏剂。,1、湿痰停滞及有表邪者慎服。
夜明砂,天鼠屎、鼠法、石肝、黑砂星、檐老鼠屎,味辛，性寒；归肝经,清肝明目，散瘀消积。,1、主要用于青盲，雀目，目赤肿痛，白晴溢血，内外翳障，小儿疳积，瘰疬，疟疾。  2、西医诊为急性结膜炎、沙眼、结膜岀血属于肝火上炎者，小儿消化不良属于饮食停滞者。,动物,内服：煎汤，布包，3-10g；或研末，每次1-3g。外用：研末调涂。,虚寒者及孕妇慎服。
土茯苓,冷饭团、硬饭头、红土苓,味甘、淡，性平；归肝、胃经,解毒，除湿，通利关节。,1、杨梅毒疮，肢体拘挛：本品甘淡，解毒利湿，通利关节，又兼解汞毒，故对梅毒或因梅毒服汞剂中毒而致肢体拘挛、筋骨疼痛者疗效尤佳，为治梅毒的要药。  2、淋浊带下，湿疹瘙痒：本品甘淡渗利，解毒利湿，故可用于湿热引起的热淋、带下、湿疹湿疮等证。  3、痈肿疮毒：本品清热解毒，兼可消肿散结。 ,植物,内服：煎服，15-60g。外用：适量。,肝肾阴虚者慎服。
牛大力,猪脚笠、山莲藕、金钟根,味甘，性平。归肾、肺经,补虚润肺，强筋活络。,用于腰肌劳损，风湿性关节炎，治肺热，肺虚咳嗽，肺结核，慢性支气管炎，慢性肝炎，遗精，白带。,植物,,
小茴香,茴香子、土茴香、野茴香、大茴香、谷茴香、谷香、香子、小香,味辛，性温；归肝、肾、膀胱、胃经,温肾暖肝，行气止痛，和胃。,1、寒疝、睾丸肿痛：小茴香味辛、性温、气香，能温肾祛寒，理气疏肝，主散下焦寒邪而止痛，为治疗寒疝常用要药。  2、胃寒呕吐食少、脘腹冷痛：小茴香芳香，有温中散寒，理气和胃，开胃进食之功。  3、肾虚腰痛：小茴香能温肾暖腰。,植物,内服：煎汤，3-6g；或入丸、散。外用：适量，研末调敷；或炒热温熨。,阴虚火旺者禁服。
薏苡仁,薏米,味甘、淡，性凉；归脾、胃、肺经,利水渗透湿，健脾止泻，除痹，排脓，解毒散结。,主治水肿、脚气、小便不利、脾虚泄泻、湿痹拘挛、肺痈、肠痈、赘疣、癌肿。,植物,内服：煎服，9-30g。清利湿热宜生用，健脾止泻宜炒用。或入散剂。,孕妇慎用。
天花粉,栝楼根、白药、瑞雪、天瓜粉、花粉、屎瓜根、栝楼粉,味甘、微苦，性微寒；归肺、胃经,清热泻火，生津止渴，消肿排脓。,1、热病烦渴：本品甘寒，既能清肺胃二经实热，又能生津止渴，故常用治热病烦渴，燥伤肺胃，咽干口渴。  2、肺热燥咳：本品既能泻火以清肺热，又能生津以润肺燥，用治燥热伤肺，干咳少痰、痰中带血等肺热燥咳证，燥热伤肺，气阴两伤之咳喘咯血。  3、内热消渴：本品善清肺胃热、生津止渴，可用治积热内蕴，化燥伤津之消渴证，内热消渴，气阴两伤者。  4、疮疡肿毒：本品既能清热泻火而解毒，又能消肿排脓以疗疮，用治疮疡初起，热毒炽盛，未成脓者可使消散，脓已成者可溃疮排脓，风热上攻，咽喉肿痛。 ,植物,内服：煎服，10-15g。,脾胃虚寒、大便溏泄者慎服。反乌头。少数病人可出现过敏反应。
砂仁,缩沙蜜、缩砂仁、缩砂密,味辛，性温；归脾、胃、肾经,化湿行气，温中止泻，安胎。,主要用于脾胃气滞、湿阻中焦、脾胃虚寒、呕吐泻泄、胎动不安、妊娠恶阻等。,植物,内服：煎汤，3-6g，后下；或入丸、散。,阴虚血燥、火热内炽者慎用。
郁金,马蒁、五帝足、黄郁、乌头,味辛、苦，性寒；归肝、胆、心经,活血止痛，行气解郁，清心凉血，利胆退黄。,1、气滞血瘀痛证：本品味辛能行能散，既能活血，又能行气，故治气血瘀滞之痛证。  2、热病神昏，癫痫痰闭：辛散苦泄，能解郁开窍，且性寒入心经，又能清心热，故可用于痰浊蒙蔽心窍、热陷心包之神昏。  3、吐血，衄血，倒经，尿血，血淋：本品性寒清热，味苦能降泄，入肝经血分而能凉血降气止血，用于气火上逆之吐血、衄血、倒经，可配生地、丹皮、栀子等以清热凉血。  4、肝胆湿热黄疸、胆石症：本品性寒入肝胆经，能清利肝胆湿热，可治湿热黄疸。,植物,内服：煎服，5-12g；研末服，2-5g。,阴虚失血及无气滞血瘀者忌服，孕妇慎服。
葛根,葛条、甘葛、葛藤,湖南、河南、广东、浙江、四川,解肌退热，透疹，生津止渴，升阳止泻。,1、表证发热，项背强痛：本品甘辛性凉，轻扬升散，具有发汗解表，解肌退热之功。外感表证发热，无论风寒与风热，均可选用本品。  2、麻疹不透：本品味辛性凉，有发表散邪，解肌退热，透发麻疹之功。  3、热病口渴，阴虚消渴：本品甘凉，于清热之中，又能鼓舞脾胃清阳之气上升，而有生津止渴之功。  4、热泄热痢，脾虚泄泻：本品味辛升发，能升发清阳，鼓舞脾胃清阳之气上升而奏止泻痢之效。  5、葛根能直接扩张血管，使外周阻力下降，而有明显降压作用，能较好缓解高血压病人的“项紧”症状，故临床常用治高血压病颈项强痛。 ,味甘、辛，性凉，归脾、胃经,内服：煎服，9-15g。解肌退热、透疹、生津宜生用，升阳止泻宜煨用。,虚寒者忌用，胃寒呕吐者慎用。
乌药,旁其、天台乌药、鳑魮、矮樟、矮樟根、铜钱柴、土木香、鲫鱼姜、鸡骨香、白叶柴,味辛，性温；归肺、脾、肾、膀胱经,行气止痛，温肾散寒。,1、寒凝气滞胸腹诸痛证：本品味辛行散，性温祛寒，入肺而宣通，入脾而宽中，故能行气散寒止痛。  2、尿频、遗尿：本品辛散温通，入肾与膀胱而温肾散寒，缩尿止遗。,植物,内服：煎服，3-9g。,气血虚及内热证患者禁服；孕妇及体虚者慎服。
人中黄,甘草黄、甘中黄,味甘、咸，性寒；归心、胃经,清热凉血，泻火解毒。,温热疫毒发斑，痘疮，丹毒，恶疮，中诸毒。,植物,内服：煎汤（布包），6-10g；或入丸、散。,《本草经疏》：“伤寒温疫非阳明实热者不宜用；痘疮非火热郁滞因而紫黑干陷倒靥者不宜用。”
红参,人衔、土精、玉精、地精、百尺杆、金井玉阑,味甘、微苦，性微温；归肺、脾、心经,大补元气，补脾益肺，生津，安神益智。,主要用于气虚欲脱，脉微欲绝，脾气不足，中气下陷，肺虚喘咳，气短乏力，津伤口渴，虚热消渴，失眠健忘，心悸怔忡，血虚萎黄，阳痿宫冷等。 ,植物,内服：煎服，3-10g，大剂量10-30g，宜另煎兑入。或研末1-2g，或熬膏；或泡酒；或入丸散。,不宜与茶同服。
细辛,少辛、小辛、细草、细条、绿须姜、独叶草、金盆草、万病草、卧龙丹、铃铛花、四两麻,味辛，性温；归肺、肾、心经,解表散寒，祛风止痛，通窍，温肺化饮。,1、风寒感冒：本品辛温发散，芳香透达，长于解表散寒，祛风止痛，宜于外感风寒，头身疼痛较甚者。  2、头痛，牙痛，风湿痹痛：本品辛香走窜，宣泄郁滞，上达巅顶，通利九窍，善于祛风散寒，且止痛之力颇强，尤宜于风寒性头痛、牙痛、痹痛等多种寒痛证。  3、鼻渊：本品辛散温通，芳香透达，散风邪，化湿浊，通鼻窍，常用治鼻渊等鼻科疾病之鼻塞、流涕、头痛者，为治鼻渊之良药。  4、肺寒咳喘：本品辛散温通，外能发散风寒，内能温肺化饮，常与散寒宣肺、温化痰饮药同用，以主治风寒咳喘证，或寒饮咳喘证。 ,有小毒,内服：煎汤，1-3g；散剂每次服0.5-1g。,阴虚阳亢头痛，肺燥伤阴干咳者忌用。不宜与藜芦同用。
桂皮,阴香皮、山桂、月桂、天竺桂皮、川桂皮,植物界,温中散寒，理气止痛。,用于脘腹冷痛，呕吐泄泻，腰膝酸冷，寒疝腹痛，寒湿痹痛，瘀滞痛经，血痢，肠风，跌打肿痛，创伤出血等。,被子植物门,内服：煎汤，6-12g。外用：研末用水或酒调敷。,1、孕妇、儿童慎用。
桔梗,符蔰、白药、利如、梗草、卢茹、房图、荠世纪、苦梗、苦桔梗、大药、苦菜根,味苦、辛，性平；归肺经,宣肺，祛痰，利咽，排脓。,1、咳嗽痰多，胸闷不畅：本品辛散苦泄，开宣肺气，祛痰利气，无论寒热皆可应用。  2、咽喉肿痛，失音：本品能宣肺泄邪以利咽开音。  3、肺痈吐脓：本品性散上行，能利肺气以排壅肺之脓痰。  4、本品又可宣开肺气而通二便，用治癃闭、便秘。,植物,内服：煎服，3-10g；或入丸、散。,本品性升散，凡气机上逆，呕吐，呛咳，眩晕，阴虚火旺咳血等不宜用。用量过大易出致恶心呕吐。
火麻仁,麻子、麻子仁、麻仁、大麻子、大麻仁、冬麻子、火麻子,被子植物门,润肠通便。,主要用于肠燥便秘，风水、脚气等。 ,双子叶植物纲,内服：煎汤，10-15g；或入丸，散。外用：捣敷；或煎水洗。,脾虚便溏及阳虚滑泄者不宜用，大量服用会引起中毒，应予注意。
锁阳,琐阳、不老药、锈铁棒、地毛球、黄骨狼、锁严子、羊锁不拉,味甘，性温；归肝、肾、大肠经,补肾助阳，润肠通便。,主要用于肾阳虚衰，阳痿精冷，肝肾不足，足痿筋软，肠燥便秘等。 ,植物,内服：煎汤，5-15g；或入丸、散。,阴虚火旺，脾虚泄泻，实热便秘者忌服。
天麻,赤箭、离母、鬼督邮、神草、独摇芝、赤箭脂、定风草、合离草、独摇、自动草、水洋芋,味甘，性平；归肝经,息风止痉，平抑肝阳，祛风通络。,1、肝风内动，惊痫抽搐：本品主入肝经，功能息风止痉，且味甘质润，药性平和。故可用治各种病因之肝风内动，惊痫抽搐，不论寒热虚实，皆可配伍应用。  2、眩晕，头痛：本品既息肝风，又平肝阳，为治眩晕、头痛之要药。不论虚证、实证，随不同配伍皆可应用。  3、肢体麻木，手足不遂，风湿痹痛：本品又能祛外风，通经络，止痛。用治中风手足不遂，筋骨疼痛；妇人风痹，手足不遂；风湿痹痛，关节屈伸不利等。 ,植物,内服：煎汤，3-10g；或入丸、散。天麻生用祛风止痛力强，多用于头痛、痹证；炒用镇静定惊力胜，多用于眩晕、抽搐。,1、性偏温，善治肝风兼夹痰湿的患者。由于阴虚火旺、血虚血燥、实热内炽而致肝风内动或肝阳上亢者不宜单味药服用。气血两虚者不宜单味药服用。
石菖蒲,剑草、苦菖蒲、粉菖,味辛、苦，性温；归心、胃经,开窍醒神，化湿和胃，宁神益志。,主要用于痰蒙清窍，神志昏迷；湿阻中焦，脘腹痞满，胀闷疼痛；噤口痢；健忘，失眠，耳鸣，耳聋。,植物,内服：煎汤，3-6g，鲜品加倍；或入丸、散。外用：煎水洗；或研末调敷。,1、性温，凡外感风寒或温热，热实内炽，阴虚火旺、血虚血热等，忌单味服用。
泽泻,水泽、如意花、车苦菜,味甘、淡，性寒；归肾、膀胱经,利水渗湿，泄热，化浊降脂。,主治小便不利、水肿胀满、泄泻尿少、痰饮眩晕、热淋涩痛、高脂血症。,植物,内服：煎服，5-10g。或入丸、散剂。,肾虚滑精、无湿热者禁服。
麻黄草,龙沙、狗骨、卑相、卑盐,味辛、微苦，性温。归肺、膀胱经。,发汗解表，宣肺平喘，利水消肿。,主要用于外感风寒表实证、咳嗽气喘、风水水肿、风寒湿痹、阴疽痰核等。,植物,1、内服：煎汤，1.5-10g；或入丸、散。外用：研末㗜鼻或研末敷。 2、生用发汗力强，发汗、利水用之；炙用发汗力弱，蜜炙兼能润肺，止咳平喘多用。,1、麻黄不宜与洋地黄类强心苷药物合用，以免引起室性心律失常。
藏红曲,青稞红曲,味甘，性温；归肝、脾、大肠经,活血降脂，健脾消食。,高脂血症，食积饱胀，瘀滞腹痛，赤白下痢，产后恶露不尽，跌打损伤。,植物,内服：煎汤，6-12g；开水泡服：每次3g，每日2-4次，或遵医嘱。,
知母,羊胡子根、穿地龙、虾草、马马草,味苦、甘，性寒；归肺、胃、肾经,清热泻火，滋阴润燥。,1、热病烦渴：本品味苦甘而性寒质润，苦寒能清热泻火除烦，甘寒质润能生津润燥止渴，善治外感热病，高热烦渴者。  2、肺热燥咳：本品主入肺经而长于泻肺热、润肺燥，用治肺热燥咳，常配贝母用，如二母散（《证治准绳》）；若配杏仁、莱服子，可治肺燥久嗽气急，如宁嗽煎（《奇方类编》）。  3、骨蒸潮热：本品兼入肾经而能滋肾阴、泻肾火、退骨蒸，用治阴虚火旺所致骨蒸潮热、盗汗、心烦者，常配黄柏、生地黄等药用，如知柏地黄丸（《医宗金鉴》）。  4、内热消渴：本品性甘寒质润，能泻肺火、滋肺阴，泻胃火、滋胃阴，泻肾火、滋肾阴，可用治阴虚内热之消渴证，常配天花粉、葛根等药用，如玉液汤（《医学衷中参西录》）。  5、肠燥便秘：本品功能滋阴润燥，可用治阴虚肠燥便秘证，常配生地黄、玄参、麦冬等药用。 ,植物,内服：煎服，6-12g。,本品性寒质润，有滑肠作用，故脾胃虚寒、大便溏泄者忌服。
黄柏,檗木、檗皮、黄檗,味苦，性寒；归肾、膀胱、大肠经,清热燥湿，泻火解毒，除骨蒸。,1、湿热带下，热淋涩痛：本品苦寒沉降，长于清泻下焦湿热。  2、湿热泻痢，黄疸：本品清热燥湿之中，善除大肠湿热以治泻痢，可治湿热郁蒸之黄疸。  3、湿热脚气，痿证：取本品清泄下焦湿热之功，用治湿热下注所致脚气肿痛、瘘证。  4、骨蒸劳热，盗汗，遗精：本品主入肾经而善泻相火、退骨蒸，用治阴虚火旺，潮热盗汗、腰酸遗精。  5、疮疡肿毒，湿疹瘙痒：取本品既能清热燥湿，又能泻火解毒，用治疮疡肿毒。  6、西医诊为细菌性阴道炎、尿路结石、泌尿系感染、前列腺炎、前列腺增生属于下焦湿热，细菌性痢疾、阿米巴痢疾、急慢性肠炎属于大肠湿热，肝炎、黄疸属于肝胆湿热，肌营养不良、重症肌无力、甲状腺功能亢进、植物神经功能紊乱、遗精属于阴虚火旺者，化脓性感染、湿疹等属于湿热壅盛者。,植物,内服：煎服，3-12g。外用：适量。,本品苦寒伤胃，脾胃虚寒者忌用。
麻黄,龙沙、狗骨、卑相、卑盐,味辛、微苦，性温；归肺、膀胱经,发汗解表，宣肺平喘，利水消肿。,主要用于外感风寒表实证、咳嗽气喘、风水水肿、风寒湿痹、阴疽痰核等。,植物,1、内服：煎汤，1.5-10g；或入丸、散。外用：研末㗜鼻或研末敷。 2、生用发汗力强，发汗、利水用之；炙用发汗力弱，蜜炙兼能润肺，止咳平喘多用。,1、麻黄不宜与洋地黄类强心苷药物合用，以免引起室性心律失常。
沙苑子,白蒺藜、沙苑蒺藜、沙苑蒺藜子、潼蒺藜、沙蒺藜,味甘，性温；归肝、肾经,补肾固精，养肝明目。,主要用于肾虚腰痛、阳痿遗精、遗尿尿频、白带过多、目暗不明、头昏目花。,植物,9-15g。益肝明目多生用；补肾固精、缩尿止遗多炒用。,1、性温，凡外感热病、实热内炽，阴虚火旺、血虚血热等证不宜单味药大量长期服用。
蒲公英,华花郎、蒲公草、食用蒲公英、尿床草、西洋蒲公英、婆婆丁,全国,清热解毒，消肿散结，利尿通淋。,1、痈肿疔毒，乳痈内痈：本品苦寒，既能清解火热毒邪，又能泄降滞气，故为清热解毒，消痈散结之佳品，主治内外热毒疮痈诸证，兼能疏郁通乳，故为治疗乳痈之要药。  2、热淋涩痛，湿热黄疸：本品苦、甘而寒，能清利湿热，利尿通淋，对湿热引起的淋证、黄疸等有较好的疗效。  3、本品还有清肝明目的作用，以治肝火上炎引起的目赤肿痛。 ,味苦、甘，性寒；归肝、胃经,内服：煎服，9-15g。外用：鲜品适量，捣敷或煎汤熏洗患处。,用量过大可致缓泻。
九里香,满山香、千里香、五里香、过山香、千只眼、千枝叶、千只眼跌打、臭千只眼,味辛、微苦，性温；归心、肝、胃经,行气活血，散瘀止痛，解毒消肿。,胃脘疼痛、风湿痹痛、跌扑肿痛、疮痈、蛇虫咬伤。亦用于麻醉止痛。,小毒,内服：煎汤，6-12g；或入散剂；或浸酒。外用：适量，捣敷或煎水洗。,本品苦燥性温，易伤津助热，阴虚者慎用。
浮小麦,浮麦,味甘，性凉；归心经,固表止汗，益气，除热。,主要用于气虚肌表不固，腠理疏松，阳虚自汗或阴虚热扰，迫津外泄之烦热盗汗以及阴虚发热，骨蒸劳热等。 ,植物,内服：煎汤，15-30g；或研末。止汗，宜微炒用。,对于表邪未尽，汗出者忌用。
阿魏,熏渠、魏去疾、哈昔泥、五彩魏、臭阿魏,味苦、辛，性温；归肝、脾、胃经,化癥、散痞、消积、杀虫。,1、瘀血癥瘕、腹中痞块：本品苦泄辛温行散，有化癥散痞之功。  2、肉食积滞：本品有消食化滞之功。  3、本品还可用治虫积腹痛。,植物,内服：1-1.5g，多入丸、散，不宜入煎剂。外用：适量，多入膏药。,1、脾胃虚弱及孕妇忌服。
獾油,獾子油,味甘，性平,补中益气，润肤生肌，解毒消肿。,中气不足，子宫脱垂，贫血，胃溃疡，半身不遂，关节疼痛，皮肤皲裂，痔疮，疳疮，疥癣，白秃，烧烫伤，冻疮。,动物,内服：溶化入汤剂，5-15g。外用：涂擦。,
绞股蓝,七叶胆、小苦药、公罗锅底、遍地生根,被子植物门,益气健脾，化痰止咳，养心安神。,主要用于病后虚弱，气虚阴伤，肺热痰稠，咳嗽气喘，心悸失眠等。 ,双子叶植物纲,内服：煎汤，15-30g，研末，3-6g；或泡茶饮。外用：捣烂涂擦。,虚寒证忌用。
麦饭石,长寿石、健康石、炼山石、马牙砂、豆渣石,味甘，性温；归肝、胃、肾经,解毒散结，去腐生肌，除寒祛湿，益肝健胃，活血化瘀，利尿化石，延年益寿。,痈疽发背，痤疮，湿疹，脚气，痱子，手指皲裂，黄褐斑，牙痛，口腔溃疡，风湿痹痛，腰背痛，慢性肝炎，胃炎，痢疾，糖尿病，神经衰弱，外伤红肿，高血压，老年性血管硬化，肿瘤，尿路结石。,矿物,内服：取1份麦饭石，加6-8份开水，冷浸4-6h饮用，热开水浸泡2-3h即可饮用，开水煮沸20-25min即可，可连续用30次。外用：适量，研末涂敷；或泡水外洗。,外敷时需研极细末，否则易引起疼痛。
元胡,延胡、玄胡索、元胡索、延胡索,味辛、苦，性温；归心、肝、脾经,活血，行气，止痛。,主要用于气血瘀滞所致的各种痛证。如胸痹心痛、肝胃气痛、痛经、月经不调、产后瘀滞腹痛、寒疝腹痛、跌打损伤、瘀肿疼痛、风湿痹痛等。,植物,内服：煎服，3-10g。研末服，每次1.5-3g。或入丸、散。,1、性温，凡外感风热或温热、火热内炽、阴虚火旺、血虚血热等证，不宜单味药大量服用。
枳实,鹅眼枳实,味苦、辛、酸，性微寒；归脾、胃经,破气消积，化痰除痞。,主要用于胃肠积滞、湿热泻痢、胸痹、结胸、气滞胸胁疼痛、产后腹痛。 ,植物,内服：水煎，3-10g；或入丸、散。外用：研末调涂；或炒热熨。,脾胃虚弱及孕妇慎用。
眼镜蛇,膨颈蛇、蝙蝠蛇、五毒蛇、扁头风、琵琶蛇、吹风蛇、饭铲头、万蛇、饭匙头、吹风鳖,味甘、咸，性温，归肝、肾经,祛风通络止痛。,风湿痹痛，中风瘫痪，小儿麻痹症。,有毒,内服：煎汤，3-8g；或浸酒饮。,1、血虚筋骨失养者及孕妇忌用。
远志,葽绕、蕀蒬、棘菀、小草、细草、线儿茶、小草根、神砂草,味苦、辛，性温；归心、肾、肺经,安神益智，祛痰开窍，消散痈肿。,主要用于失眠、多梦、心悸、怔忡、健忘、癫痫、惊狂、咳嗽痰多、痈疽疮毒 、 乳房肿痛及喉痹等。 ,植物,内服：煎汤，3-10g；浸酒或入丸、散。外用：研末酒调敷。,凡实热或痰火内盛者，以及有胃溃疡或胃炎者慎用。
夏枯草,夕句、乃东、燕面、麦夏枯、铁色草、棒柱头花、灯笼头、鎯头草、棒槌草、锣锤草、牛牯草、广谷草、棒头柱、六月干、夏枯头,味辛、苦，性寒；归肝、胆经,清热泻火，明目，散结消肿。,1、目赤肿痛，头痛眩晕，自珠夜痛：本品苦寒主入肝经，善泻肝火以明目。用治肝火上炎，目赤肿痛，肝阴不足，目珠疼痛，至夜尤甚者。  2、瘰疬，瘿瘤：本品味辛能散结，苦寒能泄热，治肝郁化火，痰火凝聚之瘰疬，瘿瘤。  3、乳痈肿痛：本品既能清热泻肝火，又能散结消肿，可治乳痈肿痛，热毒疮疡。  4、西医诊为急性结膜炎、沙眼、周期性偏头痛、紧张性头痛、丛集性头痛属于肝火上炎者，颈部淋巴结核、甲状腺疾病、体表良性肿瘤属于痰火郁结者，急性乳腺炎属于肝经郁热者。,植物,内服：煎服，9-15g。或熬膏服。,脾胃虚弱者慎用。
黑芝麻,胡麻、巨胜、狗虱、鸿藏、乌麻、乌麻子、油麻、黑脂麻、巨肚子、小胡麻,味甘，性平；归肝、肾、大肠经,补益精血，润燥滑肠。,主要用于须发早白，头晕眼花，妇女产后乳少，风痹，血虚津枯，肠燥便秘等。 ,植物,内服：煎汤，9-15g；或入丸、散。外用：煎水洗浴或捣敷。,脾弱便溏者勿服。
