药材,古籍,别名,性味归经,功用,药材简介,药剂1,药剂2,药剂3,药剂4,药剂5,药剂6,药剂7,药剂8,药剂9,药剂10,用法用量,注意事项
香附,《名医别录》,莎草、香附子、雷公头,辛、微苦、微甘，平。归肝、脾、三焦经。,疏肝解郁，理气宽中，调经止痛。,香附，中药名。为莎草科莎草属植物莎草的干燥根茎。具有疏肝解郁，调经止痛，理气调中的功效。主治肝郁气滞胁痛、腹痛，月经不调，痛经，乳房胀痛，气滞腹痛。,香附配川芎,香附配当归,香附配广藿香,香附配黄连,艾附暖宫丸,越鞠丸,柴胡疏肝散,香苏散,固经丸,,香附煎汁内服时，成人每天的常规用量为6～10克。 入丸、散剂，外用适量，研末调敷。 行气止痛多用制香附，止血宜用香附炭。醋制后能增强疏肝止痛作用。,1、气虚无滞，阴虚、血热者慎服。 2、不与天花粉一同使用。
乌药,《本草拾遗》,矮樟、香桂樟、铜钱柴,辛，温。归肺、脾、肾、膀胱经。,行气止痛，温肾散寒。,乌药，中药名。为樟科山胡椒属植物乌药的干燥块根。具有行气止痛，温肾散寒的功效。主治寒凝气滞胸腹诸痛证，尿频，遗尿。,乌药配益智仁,乌药配香附,乌药配木香,乌药配沉香,乌药配当归,五香散,萆薢分清饮,天台乌药散,暖肝煎,,乌药煎汁内服时，成人每天的常规用量为6~10克。 或入丸、散。外用适量，研末调敷。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,气血虚及内热证患者禁服；孕妇及体虚者慎服。
薤白,《神农本草经》,野薤、野葱、薤白头,辛、苦，温。归心、肺、胃、大肠经。,通阳散结，行气导滞。,薤白，中药名。为百合科葱属植物小根蒜或藠头的干燥鳞茎。具有通阳散结，行气导滞的功效。主治胸痹心痛，脘腹痞满胀痛，泻痢里急后重。,薤白配黄柏,薤白配瓜蒌,薤白配枳实,薤白配半夏,薤白配大腹皮,枳实薤白桂枝汤,瓜蒌薤白白酒汤,瓜蒌薤白半夏汤,柴胡清骨散,,煎汁内服时，成人每天的常规用量为5～10克。 也可入丸剂、散剂，也可煮粥食用。 外用时取适量薤白，捣烂敷在患处，或捣出汁液外涂。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.辛散行气，气虚者慎服。为滑利之品，无滞者不宜使用。 2.胃弱纳呆及不耐蒜味者不宜服用。 3.久服对胃黏膜有刺激性，易发噫气，用时应注意。
沉香,《名医别录》,辛、苦，微温。归脾、胃、肾经。,行气止痛，温中止呕，纳气平喘。,沉香，中药名。为瑞香科沉香属植物沉香及白木香含有树脂的木材。具有行气止痛，温中止呕，纳气平喘的功效。主治寒凝气滞之胸腹胀痛、胃寒呕吐、肾虚作喘等。全年可采。,,,,,,,,,,,,辛温助热，故阴虚火旺者慎用。气虚下陷者也应慎用。,
檀香,《名医别录》,白檀、白檀木、旃檀,辛，温。归脾、胃、心、肺经。,行气止痛，散寒调中。,檀香，中药名。为檀香科檀香属植物檀香树干的干燥心材。以夏季采收为佳。主产于印度、印度尼西亚，海南、广东、云南及台湾等地亦产。具有行气止痛，散寒调中的功效。主治寒凝气滞、胸腹冷痛，胃寒作痛、呕吐食少，胸痹心痛等。,,,,,,,,,,,煎服，2～5g，宜后下。,阴虚火旺、实热吐衄者慎用。
玫瑰花,《食物本草》,徘徊花、笔头花、湖花、刺玫花。,甘、微苦，温。归肝、脾经。,行气解郁，和血，止痛。,,玫瑰花配佛手,玫瑰花配当归,玫瑰花配白芍,玫瑰花配川芎,归桂化逆汤,玫芦消痤膏,乳癖散结胶囊,痛经灵颗粒,,,玫瑰花煎汁内服时，成人每天的常规用量为3～6克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,《本草用法研究》：阴虚有火者勿用。
刀豆,《救荒本草》,挟剑豆、野刀板藤、葛豆、刀豆角、刀板豆,甘，温。归胃、肾经。,温中，下气止呃，温肾助阳。,,,,,,,,,,,,胃热患者禁服。,
大腹皮,《开宝本草》,槟榔皮、大腹毛、茯毛,辛，微温。归脾、胃、大肠、小肠经,行气宽中，行水消肿。,大腹皮，中药名。为棕榈科槟榔属植物槟榔的干燥果皮。具有行气宽中，利水消肿的功效。主治胃肠气滞，脘腹胀闷，大便不爽，水肿胀满，脚气浮肿，小便不利。,大腹皮配陈皮,大腹皮配槟榔,大腹皮配白术,大腹皮配茯苓皮,大腹皮配五加皮,疏凿饮子,藿香正气散,黄芩滑石汤,实脾散,,大腹皮煎汁内服时，成人每天的常规用量为5～10克。 除消食药（应该在饭后服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,气虚体弱者慎服。
佛手,《滇南本草》,佛手柑、手柑,辛、苦、酸，温。归肝、脾、胃、肺经。,疏肝理气，和胃止痛，燥湿化痰。,,佛手配陈皮,佛手配生姜,佛手配青皮,佛手配木香,佛手配白术,白术和中汤,金佛止痛丸,山海丹胶囊,,,佛手煎汁内服时，成人每天的常规用量为3～10克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,阴虚有热、气虚无滞者慎用。
青皮,《本草图经》,四花青皮、个青皮、青皮子,苦、辛，温。归肝、胆、胃经。,疏肝破气，消积化滞。,青皮，中药名。为芸香科柑橘属植物橘及其栽培变种的干燥幼果或未成熟果实的干燥果皮。具有疏肝破气，消积化滞的功效。主治肝郁气滞证，气滞脘腹疼痛，食积腹痛，癥瘕积聚，久疟痞块。在未成熟时采收。,青皮配陈皮,青皮配柴胡,青皮配木香,青皮配乌药,青皮配黄连,海藻玉壶汤,瓜蒌牛蒡汤,癫狂梦醒汤,葛花解醒汤,,青皮煎汤内服时，成人每天的常规用量为3～10克，也可以入丸、散剂。 青皮醋炙后疏肝止痛的功效增强。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,气虚者慎服。
枳实,《神农本草经》,鹅眼枳实,苦、辛、酸，微寒。归脾、胃经。,破气消积，化痰散痞。,枳实，中药名。为芸香科柑橘属植物酸橙及其栽培变种或甜橙的干燥幼果。具有破气消积，化痰除痞的功效。主治胃肠积滞，湿热泻痢，胸痹，结胸，气滞胸胁疼痛，产后腹痛。在未成熟时采收。,枳实配黄连,枳实配瓜蒌,枳实配白术,枳实配柴胡,枳实配厚朴,枳实消痞丸,枳实芍药散,涤痰汤,大承气汤,,枳实煎汁内服时，成人每天的常规用量为3~10克。 枳实炒后药性比较平和。可入丸、散。外用时适量，研末调涂或炒热熨。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚弱及孕妇慎用。
柿蒂,《本草拾遗》,柿钱、柿丁、柿子把,苦、涩，平。归胃经。,降逆下气,柿蒂，中药名。为柿科柿树属植物柿的干燥宿萼。具有降气止呃的功效。主治呃逆。,,,,,,,,,,,凡脾胃虚寒，痰湿内盛，外感咳嗽，脾虚泄泻，疟疾等症，禁食鲜柿。,
九香虫,《本草纲目》,九香虫,咸，温。归肝、脾、肾经。,理气止痛，温肾助阳。,,,,,,,,,,,,凡阴虚阳亢者慎用。,
荔枝核,《本草衍义》,荔仁、枝核、大荔核,甘、微苦，温。归肝、肾经。,行气散结，祛寒止痛。,荔枝核，中药名。为无患子科荔枝属植物荔枝的干燥成熟种子。具有行气散结，散寒止痛的功效。主治疝气痛，睾丸肿痛，胃脘久痛，痛经，产后腹痛。,荔枝核配橘核,荔枝核配小茴香,荔枝核配川楝子,荔枝散,木香楝子散,生力胶囊,十香丸,降糖舒胶囊,,,荔枝核煎汁内服时，成人每天的常规用量为5～10克，也可入丸、散剂。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。,无寒湿滞气者勿服生。
娑罗子,《本草纲目》,梭罗子、莎婆子、武吉,甘，温。归肝、胃经。,疏肝理气，和胃止痛。,娑罗子，中药名。为七叶树科七叶树属植物七叶树、浙江七叶树或天师栗的干燥成熟种子。具有疏肝解郁，和胃止痛的功效。主治胸闷胁痛，脘腹胀痛，妇女经前乳房胀痛。,,,,,,,,,,,气阴虚患者慎服。,
陈皮,橘皮、贵老、黄橘皮、红皮、橘子皮、广橘皮、广皮,味辛、苦，性温；归脾、肺经,理气健脾，燥湿化痰。,陈皮，中药名。为芸香科柑橘属植物橘及其栽培变种的干燥成熟果皮。具有理气健脾，燥湿化痰的功效。主治脾胃气滞证，呕吐，呃逆，湿痰，寒痰咳嗽，胸痹。,陈皮煎汁内服时，成人每天的常规用量为3~10克。陈皮也可以入丸、散服用。 无论饭前还是饭后服，服药与进食都应间隔0.5-1小时，以免影响药物的吸收与药效的发挥。,,,,,,,,,,,气虚证、阴虚燥咳、吐血证及舌赤少津、内有实热者慎服。,
香橼,钩缘干、香泡树,味辛、微味苦、酸，性温；归肝、脾、胃、肺经,疏肝解郁，理气和中，燥湿化痰。,香橼，中药名。为芸香科柑橘属植物枸橼或香圆的成熟果实。具有疏肝解郁，理气和中，燥湿化痰的功效。主治肝郁胸胁胀痛，气滞脘腹胀痛，痰饮咳嗽，胸膈不利。,虚人慎服。,,,,,,,,,,,,1、治肝郁胸胁胀痛，常配柴胡、郁金、佛手等同用。本品功同佛手，但效力较逊。 2、治脾胃气滞之脘腹胀痛，嗳气吞酸，呕恶食少，可与木香、砂仁、藿香等同用。 3、治痰多、咳嗽、胸闷等，常配伍生姜、半夏、茯苓等。
梅花,白梅花、绿萼梅、绿梅花,味苦、微甘、微酸，性凉；归肝、胃、肺经,疏肝解郁，开胃生津，化痰。,梅花，中药名。为蔷薇科植物绿萼梅的花蕾。具有疏肝解郁，开胃生津，化痰的功效。主治肝胃气痛，胸闷心烦，暑热烦渴，食欲不振，梅核气，妊娠呕吐，瘰疬结核，痘疹。,,,,,,,,,,,,梅花配玫瑰花 梅花味微酸，性平，具有理气化痰的功效；玫瑰花味甘微苦性温，疏肝解郁，活血止痛。 两药均性平力缓，气味芳香疏理，配伍后，增强疏肝理气止痛的功效。用以治疗肝胃气滞导致的疼痛。 千里梅花丸 药物组成：梅花、枇杷叶、干葛末、百药煎、乌梅肉、甘草。 功能与主治：生津止渴。适用于夏日长途，津少口渴。 绿萼点舌丸 药物组成：白梅花、沉香、血竭、乳香、没药、葶苈子、硼砂、石决明、雄黄、牛黄、冰片、蟾酥、朱砂、珍珠、麝香、熊胆、牛胆粉。 功能主治：清热解毒，消肿止痛。用于皮肤感染化脓性疾病初起，咽喉、龈、舌肿痛。 疏肝解郁 粳米100克，白梅花、白菊花各5克。 粳米100克加水煮粥，白梅花、白菊花各5克洗净，粥将熟时加入，稍煮即可。可作餐食，每日1次。 疏肝理气，化痰散结 鸡蛋1个，绿萼梅7朵。 鸡蛋一端穿孔，放入绿萼梅，封口，置饭上蒸熟，去花食蛋。每天吃1个，7日为1个疗程。,
山楂,《本草经集注》,山里果、山里红、酸里红、山里红果、酸枣、红果、红果子、山林果,酸、甘，微温。归脾、胃、肝经。,消食健胃，行气散瘀，化浊降脂。,山楂，中药名。为蔷薇科山楂属植物山里红或山楂的干燥成熟果实。具有消食化积，行气散瘀的功效。主治饮食积滞，泻痢腹痛，疝气痛，瘀阻胸腹痛，痛经。果实接近成熟时或成熟时采收。,,,,,,,,,,,煎服，9～12g。生山楂、炒山楂偏于消食散瘀；焦山楂消食导滞作用增强，用于肉食积滞，泻痢不爽。,脾胃虚弱而无积滞、胃酸分泌过多者慎用。
莱菔子,《日华子本草》,萝卜子、芦菔子、萝白子、菜头子,辛、甘，平。归脾、胃、肺经。,消食除胀，降气化痰。,莱菔子，中药名。为十字花科莱菔属植物萝卜的干燥成熟种子。具有消食除胀，降气化痰的功效。主治食积气滞，咳喘痰多，胸闷食少。,莱菔子配木香,莱菔子配半夏,褐圆子,三子养亲汤,莱菔子煎,健儿消食口服液,焦楂化滞丸,消食化痰丸,,,莱菔子煎汁内服时，成人每天的常规用量为5～12克。 可入丸、散剂，宜炒用。外用适量，研末调敷。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 用于吐风痰时，适合生用。用于消化食积、降气化痰时，适合炒用。,本品辛散耗气，故气虚及无食积、痰滞者慎用。不宜与人参同用。
麦芽,《药性论》,大麦芽、大麦蘖、麦蘖,甘，平。归脾、胃经。,行气消食，健脾开胃，回乳消胀。,麦芽，中药名。为禾本科大麦属植物大麦的成熟果实经发芽干燥而成。具有消食健胃，回乳消胀的功效。主治米面薯芋食滞，断乳，乳房胀痛。,麦芽配山楂,麦芽配白术,消疳丸,曲蘖丸,麦芽煎,健脾丸（糖浆、颗粒）,健胃消食片,小儿化滞散,,,麦芽煎汁内服时，成人每天的常规用量为10～15克，回乳时常规用法用量为炒用60克。 麦芽也可以入丸剂、散剂服用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,妇女哺乳期禁服，孕妇、无积滞者慎服。
稻芽,《名医别录》,蘖米、谷蘖、稻蘖,甘，温。归脾、胃经。,消食和中，健脾开胃。,稻芽，中药名。为禾本科植物稻的成熟果实经发芽干燥的炮制加工品。将稻谷用水浸泡后，保持适宜的温、湿度，待须根长至约1时，干燥。,,,,,,,,,,,《食性本草》曰：“久食消肾，不可多食。”,
鸡内金,《神农本草经》,鸡黄皮、鸡食皮、鸡嗉子,甘，平。归脾、胃、小肠、膀胱经。,健胃消食，涩精止遗，通淋化石。,鸡内金，中药名。为雉科雉属动物家鸡的沙囊内壁。具有消食健胃，涩精止遗的功效。主治饮食积滞，小儿疳积，肾虚遗精、遗尿，砂石淋证，胆结石。,鸡内金配白术,鸡内金配使君子,鸡内金配金钱草、海金沙,鸡肶胵丸,益脾饼,鸡胵汤,疳积散,儿童清热导滞丸,,,鸡内金煎汁内服时，成人每天的常规用量为3～10克。 研粉吞服时，成人每天的常规用量为1.5～3克。 消食用多饭后服，有助于药效的发挥，其他用无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。 鸡内金研粉吞服的效果一般优于煎汤服用。 炒鸡内金更常用于消化不良，食积不化，脾虚泄泻，遗精、遗尿等。醋鸡内金长于疏肝助脾，用于脾胃虚弱或肝脾失调，消化不良，脘腹胀满。,脾虚无积滞者慎用。
六神曲,神曲、六曲,甘、辛、温；脾、胃经,健脾和胃，消食调中。,六神曲是一款药物名称，主要用于健脾和胃，消食调中，主治脾胃虚弱，饮食停滞，胸痞腹胀，小儿食积。,1、忌食生冷、油腻、不易消化食物。 2、不适用于口干、舌少津，或有手足心热，食欲不振，脘腹作胀，大便干。 3、哺乳期妇女慎用。,,,,,,,,,,,,
苦楝皮,《名医别录》,苦楝、楝树果、楝枣子,苦，寒；有毒。归肝、脾、胃经。,杀虫，疗癣。,苦楝皮，中药名。为楝科楝属植物楝或川楝的干燥树皮及根皮。具有杀虫，疗癣的功效。主治蛔虫病，蛲虫病，钩虫病，疥癣，湿疮。,,,,,,,,,,,体弱及肝肾功能障碍者、孕妇及脾胃虚寒者均慎服。亦不宜持续和过量服用。苦楝皮有一定的毒副反应，服药中毒后可有头痛、头晕、恶心、呕吐、腹痛等症状。严重中毒，可出现内脏出血、中毒性肝炎、精神失常、呼吸中枢麻痹，甚至休克、昏迷死亡。,
使君子,《开宝本草》,病柑子、五棱子、君子仁,甘，温。归脾、胃经。,杀虫消积。,使君子，中药名。为使君子科使君子属植物使君子的干燥成熟果实。具有杀虫消积的功效。主治蛔虫病，蛲虫病，小儿疳积。,使君子配槟榔,使君子配芦荟,使君子配神曲,使君子配厚朴,五疳消食丸,肥儿丸,布袋丸,使君子散,大芦荟丸,,使君子煎汁内服时，成人每天的常规用量为9～12克，捣碎入煎剂。 使君子仁多入丸散或单用，成人每天的常规用量为6～9克，分1～2次服用。壳炒香嚼食，小儿每岁1～1.5粒，炒香嚼服，1日总量不超过20粒。空腹服用，每日1次，连用3日。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,服量过大或与热茶同服，可引起呃逆、眩晕、呕吐等反应。
榧子,《名医别录》,香榧、玉榧、木榧,甘，平。归肺、胃、大肠经。,杀虫消积，润肺止咳，润燥通便。,榧子，中药名。为红豆杉科榧树属植物榧的干燥成熟种子。具有杀虫消积，润肠通便，润肺止咳的功效。主治虫积腹痛，肠燥便秘，肺燥咳嗽，丝虫病。,,,,,,,,,,,大便溏薄、肺热咳嗽者不宜用。,
槟榔,《名医别录》,大腹子、榔玉、宾门、青仔、玉片、大白,苦、辛，温。归胃、大肠经。,杀虫，消积，行气，利水，截疟。,槟榔，中药名。为棕榈科槟榔属植物槟榔的干燥成熟种子。具有杀虫消积，行气，利水，截疟的功效。主治肠道寄生虫病，食积气滞，泻痢后重，水肿，脚气肿痛，疟疾。 槟榔切片成花纹状，质地坚脆，质重下垂叫玉片。,槟榔配木香,槟榔配沉香,槟榔配牵牛子,槟榔配常山,槟榔配半夏,柴胡达原饮,达原饮,化积丸,槟榔丸,,槟榔煎汁内服时，成人每天的常规用量为3～10克；如果用槟榔驱杀绦虫、姜片虫时，成人每天的常规用量为30～60克。或入丸、散。 外用适量，可以用槟榔煎水洗或研成粉末调敷。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾虚便溏，气虚下陷者忌用；孕妇慎用。
鹤虱,《新修本草》,鹄虱、鬼虱、北鹤虱,苦、辛，平；有小毒。归脾、胃经。,杀虫消积。,鹤虱，中药名。为菊科天名精属植物天名精的干燥成熟果实。具有杀虫消积的功效。主治虫积腹痛，小儿疳积。,,,,,,,,,,,孕妇慎服。,
雷丸,《神农本草经》,竹苓、雷实、竹铃芝,微苦，寒。归胃、大肠经。,杀虫消积。,雷丸，中药名。为白蘑科真菌雷丸 的干燥菌核。具有杀虫消积的功效。主治绦虫病，钩虫病，蛔虫病，小儿疳积。,,,,,,,,,,,本品不宜煎服。无虫积者禁服，有虫积而脾胃虚寒者慎服。,
芜荑,《神农本草经》,辛、苦，温。归脾、胃经。,杀虫消积。,芜荑，中药名。为榆科榆属植物大果榆果实的加工品。具有杀虫消积，散寒止泻，祛风燥湿的功效。主治虫积腹痛，蛔虫、蛲虫病，疥癣恶疮，风寒湿痹，肠风痔漏等。,脾胃虚弱者慎服。不宜多服。,,,,,,,,,,,,1.治虫积腹痛，虫得辛则伏，得苦则下，可与槟榔、木香研末，石榴根煎汤送服，如芜荑散（《仁斋直指方》）。 2.治小儿疳积，可与使君子、芦荟、夜明砂、白术、人参、茯苓、甘草同用，治疗小儿疳积腹痛有虫、消瘦泄泻者，如布袋丸（《补要袖珍小儿方论》）。
南瓜子,《现代实用中药学》,北瓜子、窝瓜子、南瓜籽,甘，平。归胃、大肠经。,杀虫。,南瓜子，中药名。为葫芦科南瓜属植物南瓜的种子。具有杀虫的功效。主治绦虫病，血吸虫病。,,,,,,,,,,,研粉，60～120g。冷开水调服。,1.胃热病人可能引起胃痛； 2.应适量吃，不宜多吃，多吃可能引起头晕； 3.南瓜子与羊肉吃可引起腹涨。
鹤草芽,《中华医学杂志》,苦、涩，凉。归肝、小肠、大肠经。,杀虫。,鹤草芽，中药名。为蔷薇科龙芽草属植物龙牙草的地下冬芽。具有杀虫的功效。主治绦虫病。,1.有效成分不溶于水，不宜入煎剂。 2.部分病人服药后可见恶心、呕吐、头晕、冷汗等症状，一般可自行缓解。亦有报道，服鹤草芽浸膏引起球后神经炎。 3.对年老体弱、小儿营养不良、心脏病患者，或过敏体质者均应慎用或忌用。,,,,,,,,,,,,1.治寸白虫：狼牙五两。捣末，蜜丸如麻子大。宿不食，明旦以浆水下一合，服尽差。（《外台》引《范汪方》） 2.治妇人阴中生疮，糜烂痒痛，或痛引腰腹：狼牙50g。水煎去泽，以脱脂棉蘸之，浸洗阴中，早晚各1次。（《金匮要略方义》 3.治妇人阴疮，蚀如中烂狼牙五两。以水四升，煮至一升，去滓，水醋一合，更煎一两沸。稍热，以绵蘸汤沥于疮上，及以热绵罨之。日三五度即愈。（《圣惠方》狼牙汤） 4.治绦虫病： （1）取仙鹤草芽，剪去须根，用水焖湿，搓去根茎上的外皮，晒干研末。成人30g，小儿酌减，早晨空腹1次，开水送下（《四川中药志》1979年版）。 （2）仙鹤草冬芽石灰水法提取物：成人2.0g，小儿0.6g。同时服酚酞，成人0.5g，小儿0.3g。如以硫酸镁导泻，则需间隔1.5h后服之。 （3）仙鹤草冬芽石油醚法提取物：成人1.5-1.7g，小儿1.0-1.3g早晨空腹一次顿服。（2、3方出自《全国中草药汇编》） 5.治小儿头部疖肿：鲜鹤草芽250g，糯米适量煮粥，去渣。加糖顿服（不放油盐），每日1剂，连服3-5剂。（《四川中药志》1979年版） 6.治疗囊虫病：用鹤草芽、雷丸、槟榔以杀虫，配伍化痰、散结、补气生血之品组成囊虫消，治疗囊虫病有效[河南中医，1993，13（1）：28]。 7.治疗滴虫性阴道炎：用鹤草芽栓剂，每晚睡前置阴道内，10次1疗程，治疗滴虫性阴道炎有效[中华临床中药学.1998.1044]。 8.此外，临床尚有治疗痢疾、小儿头部疖肿等报道。
白茅根,《神农本草经》,丝茅草、茅草、白茅草,甘，寒。归肺、胃、膀胱经。,凉血止血，清热利尿。,白茅根，中药名。为禾本科白茅属植物白茅的根茎。具有凉血止血，清热利尿，清肺胃热的功效。主治血热鼻衄、咯血、尿血、血淋等出血证，热毒淋证、水肿，湿热黄疸，胃热呕吐，肺热咳喘等。,白茅根配车前子,白茅根配石膏,白茅根汤,茅根饮子,白茅根散,如神汤,尿毒灵灌肠液,清热银花糖浆,,,白茅根煎汁内服时，成人每天的常规用量为9～30克。鲜品加倍。 白茅根多生用，可以捣汁、绞汁饮用。 止血多炒炭用，清热利尿适宜生用。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。,脾胃虚寒，溲多不渴者禁服。
地榆,《神农本草经》,黄瓜香、玉札、山枣子,苦、酸、涩，微寒。归肝、大肠经。,凉血止血，解毒敛疮。,地榆，中药名。为蔷薇科地榆属植物地榆或长叶地榆的根。具有凉血止血，解毒敛疮的功效。主治血热便血、痔血、崩漏证，水火烫伤，湿疹，疮疡痈肿等。,地榆配茜草,地榆配冰片,地榆汤,清肠饮,地榆丸,止血灵胶囊,消痔软膏,创灼膏,,,地榆煎汁内服时，成人每天的常规用量为9～15克，或入、丸散。 外用时适量，水煎洗浴、湿敷，研末撒布或麻油调涂。 用于止血时，适合炒炭用；用于凉血、解毒敛疮时，适合生用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.地榆性寒酸涩，凡虚寒性便血、下痢、崩漏及出血有瘀者慎用。 2.对于大面积烧伤的病人，不宜使用地榆制剂外涂，以防其所含鞣质被大量吸收而引起中毒性肝炎。 3.地榆药液经高压消毒后，其抑菌力明显减弱，甚至丧失。
侧柏叶,《名医别录》,香柏、扁柏、柏树、侧柏炭,苦、涩，寒。归肺、肝、脾经。,凉血止血，化痰止咳，生发乌发。,侧柏叶，中药名。为柏科侧柏属植物侧柏的嫩枝叶。具有凉血止血，化痰止咳的功效。主治血热吐血、衄血、尿血、血痢等出血证，肺热咳嗽，血热脱发、须发早白等。,侧柏叶配生地黄,侧柏叶配荷叶,侧柏叶配地榆,柏叶汤,四生丸,干生地黄散,止红肠辟丸,,,,侧柏叶煎汁内服时，成人每天的常规用量为6～12克。 侧柏叶还可以外用，需要适量。 止血多炒炭用，止咳祛痰多生用。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。,久服、多服，易致胃脘不适及食欲减退。
槐花,《日华子本草》,金药树、护房树、豆槐,苦，微寒。归肝、大肠经。,凉血止血，清肝泻火。,槐花，中药名。为豆科槐属植物槐的干燥花及花蕾。具有凉血止血，清肝泻火的功效。主治血热迫血妄行的各种出血证，肝火上炎所致的目赤、头胀头痛及眩晕等。在花蕾时采，一般不宜在花完全盛开后采收，花的采收应在晴天上午，露水初干时进行，以利迅速干燥。,槐花配荆芥穗,槐花配黄连,槐花配夏枯草,槐花散,万金散,二神散,槐香散,止红肠辟丸,,,槐花煎汁内服时，成⼈每天的常规用量为5~10克；还可以入丸、散及外用。 止血多炒炭用，清热泻火宜生用。 除消食药 (应该在饭后及时服药)、镇静安神药(临睡前服用) 等药物以外，⼀般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虛寒及阴虚发热而无实火者慎服。
大蓟,《名医别录》,大刺儿菜、大刺盖、老虎脷,甘、苦，凉。归心、肝经。,凉血止血，散瘀解毒消痈。,大蓟，中药名。为菊科蓟属植物蓟的地上部分。具有凉血止血，散瘀解毒消痈的功效。主治吐衄、咯血、崩漏等血热出血证，肠痈、肺痈等火热毒盛的痈肿疮毒。,大蓟配大黄,大蓟配牡丹皮,大蓟配金银花,大蓟饮,大效丸,清心散,大蓟止血片,血见宁（散）,,,大蓟煎汁内服时，成人每天的常规用量为9～15克。 外用鲜品适量，捣敷患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃出血，脾胃虚寒者禁服。
小蓟,刺儿菜、青青菜、荠荠菜、刺角菜,甘、苦，凉。归心、肝经。,凉血止血，散瘀解毒消痈。,小蓟，中药名。为菊科蓟属植物刺儿菜的地上部分。具有凉血止血，散瘀解毒消痈的功效。主治血热迫血妄行所致的吐衄、尿血、崩漏等血热出血证，火热毒盛的痈肿疮毒。,小蓟煎汁内服时，成人每天的常规用量为5~12克，鲜品30~60克。 外用适量，干品研末调敷，或鲜品捣敷。 凉血解毒、凉血止血、降血压宜生用，或用鲜品；炒炭只用于止血。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,,,,,,,,,,,虚寒出血及脾胃虚寒者禁服。,
羊蹄,《神农本草经》,土大黄、牛舌头、野菠菜,苦、涩，寒。归心、肝、大肠经。,凉血止血，解毒杀虫，泻下通便。,羊蹄，中药名。为蓼科酸模属植物羊蹄或尼泊尔羊蹄的根。具有凉血止血，解毒杀虫，泻下的功效。主治血热咯血、吐血、衄血及紫癜出血，热毒疮疡，水火烫伤，疥癣及热结所致的大便秘结等。,,,,,,,,,,,煎服，10～15g；鲜品30～50g，也可绞汁去渣服用；外用适量。,脾胃虚寒者禁服。有使用羊蹄叶中毒的报道。
